,artist,year,song,danceability
439,Enrique Iglesias,2003,Not In Love - Radio Mix,0.762
440,Kelis,2003,Milkshake,0.881
441,Linkin Park,2003,Breaking the Habit,0.579
442,JoJo,2005,Leave (Get Out) - Radio Edit,0.656
443,Christina Milian,2004,Dip It Low,0.752
444,Avant,2003,Read Your Mind,0.755
445,Eminem,2004,Just Lose It,0.94
446,Sugababes,2003,Too Lost In You,0.586
447,Snoop Dogg,2004,Drop It Like It's Hot,0.892
448,Sean Paul,2002,I'm Still in Love with You (feat. Sasha),0.765
449,The Shapeshifters,2004,Lola's Theme - Radio Edit,0.748
450,D12,2004,How Come,0.745
451,Basement Jaxx,2003,Good Luck,0.571
452,Kevin Lyttle,2004,Turn Me On,0.677
453,Chingy,2003,One Call Away,0.765
454,T.I.,2004,Bring Em Out,0.759
455,DJ Casper,2004,Cha Cha Slide - Hardino Mix,0.853
456,Kylie Minogue,2004,I Believe in You,0.548
457,Twista,2004,Overnight Celebrity,0.828
458,N.E.R.D,2004,She Wants To Move,0.766
459,Britney Spears,2003,Everytime,0.398
460,U2,2004,Vertigo,0.416
461,Franz Ferdinand,2004,Take Me Out,0.277
462,J-Kwon,2001,Tipsy - Club Mix,0.925
463,G-Unit,2003,Wanna Get To Know You,0.513
464,Lil' Flip,2004,Sunshine (feat. Lea),0.814
465,Kanye West,2004,Jesus Walks,0.637
466,Evanescence,2003,My Immortal,0.19
467,Nelly,2004,My Place,0.6
468,Lemar,2004,If There's Any Justice,0.706
469,No Doubt,2003,It's My Life,0.612
470,Avril Lavigne,2004,Don't Tell Me,0.523
471,Twista,2004,Slow Jamz,0.559
472,Green Day,2004,American Idiot,0.38
473,Kelis,2003,Millionaire,0.68
474,Scissor Sisters,2004,Comfortably Numb,0.803
475,Alicia Keys,2003,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),0.663
476,Kanye West,2004,Through The Wire,0.571
477,Special D.,2004,Come With Me - Radio Edit,0.739
478,Ludacris,2003,Splash Waterfalls,0.734
479,Avril Lavigne,2004,My Happy Ending,0.414
480,Dido,2003,White Flag,0.512
