,artist,year,song,danceability
1576,Meek Mill,2015,All Eyes on You (feat. Chris Brown & Nicki Minaj),0.589
1577,Big Sean,2015,I Don't Fuck With You,0.824
1578,Kygo,2016,Firestone,0.704
1579,Drake,2015,Jumpman,0.853
1580,Petit Biscuit,2015,Sunset Lover,0.783
1581,Shawn Mendes,2015,Stitches,0.746
1582,Flo Rida,2015,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",0.854
1583,Selena Gomez,2014,The Heart Wants What It Wants,0.616
1584,Jack Ü,2015,Where Are Ü Now (with Justin Bieber),0.432
1585,Ellie Goulding,2015,On My Mind,0.699
1586,Bryson Tiller,2015,Don't,0.765
1587,Rich Homie Quan,2015,"Flex (Ooh, Ooh, Ooh)",0.676
1588,Joel Adams,2015,Please Don't Go,0.513
1589,Zedd,2015,I Want You To Know,0.561
1590,Jonas Blue,2015,Fast Car,0.644
1591,BØRNS,2015,Electric Love,0.373
1592,Sigala,2018,Easy Love,0.68
1593,Justin Bieber,2015,Sorry,0.654
1594,Ariana Grande,2014,One Last Time,0.628
1595,Little Mix,2015,Black Magic,0.777
1596,One Direction,2015,Perfect,0.647
1597,Years & Years,2015,Shine,0.667
1598,Meghan Trainor,2015,Lips Are Movin,0.775
1599,Nicky Jam,2017,El Perdón - Forgiveness,0.736
1600,The Weeknd,2016,Starboy,0.681
1601,Drake,2016,One Dance,0.792
1602,Justin Bieber,2015,Love Yourself,0.609
1603,The Chainsmokers,2016,Closer,0.748
1604,Adele,2015,Hello,0.471
1605,Desiigner,2016,Panda,0.576
1606,Burak Yeter,2016,Tuesday (feat. Danelle Sandoval),0.841
1607,Sia,2016,Cheap Thrills (feat. Sean Paul),0.592
1608,OneRepublic,2016,Wherever I Go,0.552
1609,Rihanna,2016,Work,0.725
1610,Coldplay,2015,Hymn for the Weekend,0.491
1611,Justin Bieber,2015,Sorry,0.654
1612,Justin Timberlake,2016,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.666
1613,WILLOW,2015,Wait a Minute!,0.764
1614,Desiigner,2016,Tiimmy Turner,0.603
1615,G-Eazy,2015,"Me, Myself & I",0.756
1616,David Guetta,2016,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),0.367
1617,Astrid S,2016,Hurts So Good,0.672
1618,Lil Wayne,2016,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.502
1619,Twenty One Pilots,2016,Heathens,0.732
1620,Future,2016,Low Life (feat. The Weeknd),0.722
1621,Galantis,2016,No Money,0.671
1622,The Chainsmokers,2016,Don't Let Me Down,0.532
1623,Tinie Tempah,2016,Girls Like (feat. Zara Larsson),0.916
1624,Alok,2016,Hear Me Now,0.788
1625,Jon Bellion,2016,All Time Low,0.617
1626,Cheat Codes,2016,Sex,0.51
1627,Meghan Trainor,2017,NO,0.557
1628,Dua Lipa,2017,Hotter Than Hell,0.532
1629,Martin Garrix,2016,In the Name of Love,0.501
1630,Alan Walker,2018,Faded,0.468
1631,Tove Lo,2016,Cool Girl,0.674
1632,DJ Snake,2016,Let Me Love You,0.649
1633,Calvin Harris,2016,This Is What You Came For (feat. Rihanna),0.631
1634,Mike Posner,2016,I Took A Pill In Ibiza - Seeb Remix,0.664
1635,Kevin Gates,2016,2 Phones,0.895
1636,Rihanna,2016,Needed Me,0.671
1637,Ariana Grande,2016,Side To Side,0.648
1638,Marshmello,2016,Alone,0.631
1639,Shawn Mendes,2015,I Know What You Did Last Summer,0.687
1640,Selena Gomez,2015,Same Old Love,0.672
1641,Calvin Harris,2016,My Way,0.818
1642,Fitz and The Tantrums,2016,HandClap,0.636
1643,Twenty One Pilots,2015,Ride,0.645
1644,Flo Rida,2015,My House,0.688
1645,Ariana Grande,2016,Dangerous Woman,0.677
1646,Anne-Marie,2016,Alarm,0.756
1647,Charlie Puth,2016,We Don't Talk Anymore (feat. Selena Gomez),0.728
1648,AlunaGeorge,2016,I'm In Control,0.734
1649,Enrique Iglesias,2016,DUELE EL CORAZON (feat. Wisin),0.716
1650,MNEK,2015,Never Forget You,0.583
1651,Mike Perry,2016,The Ocean (feat. Shy Martin),0.632
1652,Drake,2016,Hotline Bling,0.903
1653,Ariana Grande,2016,Into You,0.623
1654,Shawn Mendes,2017,Treat You Better,0.444
1655,Tory Lanez,2016,Say It,0.546
1656,Coldplay,2015,Adventure of a Lifetime,0.638
1657,Kungs,2016,This Girl - Kungs Vs. Cookin' On 3 Burners,0.79
1658,SAYGRACE,2016,You Don't Own Me (feat. G-Eazy),0.332
1659,X Ambassadors,2015,Renegades,0.526
1660,DNCE,2016,Cake By The Ocean,0.774
1661,99 Souls,2016,The Girl Is Mine,0.683
1662,Illy,2016,Papercuts (feat. Vera Blue),0.369
1663,Kiiara,2015,Gold,0.6
1664,Kygo,2016,Stole the Show,0.678
1665,Fifth Harmony,2016,Work from Home (feat. Ty Dolla $ign),0.803
1666,Drake,2016,Pop Style,0.713
1667,ZAYN,2016,PILLOWTALK,0.588
1668,Alessia Cara,2016,Here,0.376
1669,DJ Snake,2016,Middle,0.611
1670,Sigala,2015,Sweet Lovin' - Radio Edit,0.683
1671,Drake,2015,Jumpman,0.852
1672,Charlie Puth,2016,Dangerously,0.696
1673,Nick Jonas,2016,Close,0.654
1674,Jonas Blue,2016,Perfect Strangers,0.742
1675,Major Lazer,2016,Cold Water (feat. Justin Bieber & MØ),0.608
1676,The Chainsmokers,2015,Roses,0.713
1677,Tory Lanez,2016,LUV,0.688
1678,P!nk,2016,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",0.632
1679,Bryson Tiller,2015,Don't,0.765
1680,Steve Aoki,2016,Just Hold On,0.647
1681,Clean Bandit,2016,Tears (feat. Louisa Johnson),0.605
1682,Jonas Blue,2015,Fast Car,0.459
1683,Flume,2016,Never Be Like You,0.443
1684,Bastille,2016,Good Grief,0.73
1685,Sia,2016,The Greatest (feat. Kendrick Lamar),0.668
1686,PARTYNEXTDOOR,2016,Not Nice,0.598
1687,Garrett Nash,2016,"i hate u, i love u (feat. olivia o'brien)",0.492
1688,Hilltop Hoods,2016,1955,0.766
1689,Fifth Harmony,2016,All In My Head (Flex) (feat. Fetty Wap),0.689
1690,Daya,2016,"Sit Still, Look Pretty",0.657
1691,Kent Jones,2016,Don't Mind,0.464
1692,Flume,2016,Say It,0.581
1693,Bryson Tiller,2015,Exchange,0.525
1694,MØ,2016,Final Song,0.695
1695,Beyoncé,2016,Sorry,0.775
1696,Little Mix,2017,Shout Out to My Ex,0.773
1697,The Lumineers,2016,Ophelia,0.664
1698,Frank Ocean,2016,Pink + White,0.544
1699,Drake,2016,Too Good,0.794
1700,Ed Sheeran,2017,Shape of You,0.825
1701,Sean Paul,2018,No Lie,0.742
1702,Luis Fonsi,2017,Despacito (Featuring Daddy Yankee),0.66
1703,Sam Smith,2017,Too Good At Goodbyes,0.681
1704,Clean Bandit,2016,Rockabye (feat. Sean Paul & Anne-Marie),0.72
1705,Camila Cabello,2017,Havana (feat. Young Thug),0.768
1706,Imagine Dragons,2017,Thunder,0.6
1707,Maroon 5,2018,Don't Wanna Know (feat. Kendrick Lamar),0.783
1708,The Chainsmokers,2017,Something Just Like This,0.617
1709,Ed Sheeran,2017,Perfect,0.599
1710,MGMT,2018,Little Dark Age,0.705
1711,Travis Scott,2016,goosebumps,0.841
1712,Billie Eilish,2017,Bored,0.614
1713,Future,2017,Mask Off,0.833
1714,G-Eazy,2017,Him & I,0.589
1715,Maroon 5,2017,Cold (feat. Future),0.697
1716,Rae Sremmurd,2016,Swang,0.681
1717,Lil Peep,2017,Save That Shit,0.534
1718,A$AP Ferg,2017,Plain Jane,0.797
1719,French Montana,2017,Unforgettable,0.726
1720,21 Savage,2017,Bank Account,0.884
1721,Axwell /\ Ingrosso,2017,More Than You Know,0.645
1722,ZAYN,2017,Dusk Till Dawn (feat. Sia) - Radio Edit,0.259
1723,J Balvin,2017,Mi Gente,0.548
1724,Jax Jones,2016,You Don't Know Me - Radio Edit,0.876
1725,Rae Sremmurd,2016,Black Beatles,0.794
1726,Zara Larsson,2017,Ain't My Fault,0.576
1727,Travis Scott,2017,BUTTERFLY EFFECT,0.763
1728,Ayo & Teo,2017,Rolex,0.804
1729,Lil Uzi Vert,2017,XO Tour Llif3,0.732
1730,Imagine Dragons,2017,Whatever It Takes,0.672
1731,Rob $tone,2016,Chill Bill (feat. J. Davi$ & Spooks),0.886
1732,Jason Derulo,2017,Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.696
1733,G-Eazy,2017,No Limit,0.838
1734,Playboi Carti,2017,Magnolia,0.791
1735,Chord Overstreet,2017,Hold On,0.618
1736,Jax Jones,2017,Breathe,0.722
1737,Imagine Dragons,2017,Believer,0.779
1738,Natti Natasha,2017,Criminal,0.814
1739,Kendrick Lamar,2017,HUMBLE.,0.906
1740,Selena Gomez,2017,Fetish (feat. Gucci Mane),0.708
1741,Charlie Puth,2017,Attention,0.774
1742,Big Shaq,2017,Man's Not Hot,0.905
1743,Anne-Marie,2017,Ciao Adios,0.698
1744,Rag'n'Bone Man,2017,Human,0.602
1745,blackbear,2017,do re mi,0.745
1746,Lil Pump,2017,Gucci Gang,0.936
1747,Taylor Swift,2017,Look What You Made Me Do,0.766
1748,Enrique Iglesias,2017,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),0.688
1749,Kodak Black,2017,Tunnel Vision,0.497
1750,Kendrick Lamar,2017,DNA.,0.636
1751,A Boogie Wit da Hoodie,2017,Drowning (feat. Kodak Black),0.839
1752,XXXTENTACION,2017,Jocelyn Flores,0.872
1753,Migos,2017,Bad and Boujee (feat. Lil Uzi Vert),0.926
1754,Yo Gotti,2017,Rake It Up (feat. Nicki Minaj),0.91
1755,Martin Garrix,2017,Scared to Be Lonely,0.584
1756,Jonas Blue,2017,Mama,0.739
1757,Martin Jensen,2016,Solo Dance,0.744
1758,Taylor Swift,2017,...Ready For It?,0.613
1759,David Guetta,2017,2U (feat. Justin Bieber),0.548
1760,Migos,2017,Slippery (feat. Gucci Mane),0.92
1761,Shawn Mendes,2017,There's Nothing Holdin' Me Back,0.857
1762,G-Eazy,2017,Good Life (with G-Eazy & Kehlani),0.572
1763,The Vamps,2017,All Night,0.538
1764,Dua Lipa,2017,New Rules,0.763
1765,Cardi B,2017,Bodak Yellow,0.929
1766,Rag'n'Bone Man,2017,Skin,0.564
1767,Zara Larsson,2017,I Would Like,0.486
1768,DJ Khaled,2017,Wild Thoughts (feat. Rihanna & Bryson Tiller),0.671
1769,Post Malone,2016,Congratulations,0.63
1770,Avicii,2017,Without You (feat. Sandro Cavazza),0.662
1771,Clean Bandit,2017,Symphony (feat. Zara Larsson),0.718
1772,Katy Perry,2017,Chained To The Rhythm,0.562
1773,Zay Hilfigerrr,2016,Juju on That Beat (TZ Anthem),0.807
1774,Calvin Harris,2017,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.893
1775,Migos,2017,T-Shirt,0.865
1776,OneRepublic,2017,Rich Love (with Seeb),0.401
1777,Maggie Lindemann,2017,Pretty Girl - Cheat Codes X CADE Remix,0.703
1778,Macklemore,2017,Glorious (feat. Skylar Grey),0.731
1779,Hayden James,2019,NUMB,0.617
1780,Liam Payne,2017,Strip That Down,0.869
1781,Drake,2017,Passionfruit,0.809
1782,Justin Bieber,2017,Friends (with BloodPop®),0.744
1783,ZAYN,2016,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.735
1784,Alessia Cara,2016,Scars To Your Beautiful,0.319
1785,2 Chainz,2017,It's A Vibe,0.822
1786,Starley,2016,Call on Me - Ryan Riback Remix,0.67
1787,AJR,2017,Weak,0.673
1788,Lana Del Rey,2017,Lust for Life (with The Weeknd),0.499
1789,CNCO,2017,Reggaetón Lento (Remix),0.623
1790,The Vamps,2017,Middle Of The Night,0.588
1791,The Weeknd,2016,I Feel It Coming,0.773
1792,The Chainsmokers,2017,Paris,0.653
1793,Big Sean,2017,Bounce Back,0.78
1794,Shawn Mendes,2017,Mercy,0.561
1795,Avicii,2017,Lonely Together (feat. Rita Ora),0.655
1796,Cheat Codes,2017,No Promises (feat. Demi Lovato),0.741
1797,Bruno Mars,2016,24K Magic,0.818
1798,Lorde,2017,Homemade Dynamite - REMIX,0.781
1799,Kygo,2017,It Ain't Me (with Selena Gomez),0.64
1800,Drake,2018,God's Plan,0.754
1801,Post Malone,2018,rockstar (feat. 21 Savage),0.585
1802,Offset,2017,Ric Flair Drip (with Metro Boomin),0.88
1803,G-Eazy,2017,Him & I (with Halsey),0.589
1804,Dynoro,2018,In My Mind,0.694
1805,Juice WRLD,2018,Lucid Dreams,0.511
1806,Zedd,2018,The Middle,0.753
1807,Marshmello,2018,FRIENDS,0.626
1808,Cardi B,2018,I Like It,0.816
1809,XXXTENTACION,2018,Moonlight,0.921
1810,Ariana Grande,2018,no tears left to cry,0.699
1811,Sheck Wes,2018,Mo Bamba,0.729
1812,Calvin Harris,2018,One Kiss (with Dua Lipa),0.791
1813,Tyga,2018,Taste (feat. Offset),0.884
1814,Travis Scott,2018,SICKO MODE,0.834
1815,Imagine Dragons,2018,Natural,0.704
1816,DJ Snake,2018,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.842
1817,Marshmello,2018,Spotlight,0.546
1818,The Weeknd,2018,Pray For Me (with Kendrick Lamar),0.735
1819,Billie Eilish,2018,lovely (with Khalid),0.351
1820,Migos,2018,Walk It Talk It,0.907
1821,Clean Bandit,2018,Solo (feat. Demi Lovato),0.737
1822,Drake,2018,Nonstop,0.912
1823,6ix9ine,2018,FEFE,0.931
1824,The Weeknd,2018,Call Out My Name,0.461
1825,Nio Garcia,2018,Te Boté - Remix,0.903
1826,Migos,2018,MotorSport,0.904
1827,Nicky Jam,2019,X,0.594
1828,XXXTENTACION,2018,SAD!,0.74
1829,Becky G,2018,Sin Pijama,0.791
1830,Machine Gun Kelly,2017,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0.653
1831,6ix9ine,2018,GUMMO,0.66
1832,Jax Jones,2017,Breathe,0.722
1833,The Chainsmokers,2018,Sick Boy,0.663
1834,Jay Rock,2018,"King's Dead (with Kendrick Lamar, Future & James Blake)",0.645
1835,Rich The Kid,2018,Plug Walk,0.876
1836,Kendrick Lamar,2018,All The Stars (with SZA),0.698
1837,Logic,2018,Everyday,0.667
1838,Jason Derulo,2017,Tip Toe (feat. French Montana),0.845
1839,Ariana Grande,2018,God is a woman,0.602
1840,Rae Sremmurd,2018,Powerglide (feat. Juicy J) - From SR3MM,0.713
1841,EO,2018,German,0.862
1842,Dennis Lloyd,2017,Nevermind,0.6
1843,girl in red,2018,we fell in love in october,0.566
1844,Selena Gomez,2017,Wolves,0.724
1845,Tiësto,2018,Jackie Chan,0.747
1846,Tom Walker,2017,Leave a Light On,0.586
1847,Sofía Reyes,2018,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",0.792
1848,Marshmello,2017,Silence,0.52
1849,5 Seconds of Summer,2018,Youngblood,0.596
1850,Loud Luxury,2017,Body (feat. brando),0.752
1851,Liam Payne,2018,For You (Fifty Shades Freed) (& Rita Ora),0.541
1852,NF,2017,Let You Down,0.662
1853,XXXTENTACION,2018,changes,0.669
1854,Maluma,2018,Corazón (feat. Nego do Borel),0.722
1855,Cardi B,2018,Bodak Yellow,0.926
1856,Lil Baby,2018,Yes Indeed,0.963
1857,Jonas Blue,2018,Rise,0.687
1858,David Guetta,2018,Flames,0.631
1859,Ozuna,2018,Vaina Loca,0.754
1860,Charlie Puth,2018,How Long,0.845
1861,Post Malone,2018,Better Now,0.68
1862,BlocBoy JB,2018,Look Alive (feat. Drake),0.922
1863,Eminem,2017,River (feat. Ed Sheeran),0.748
1864,Marshmello,2018,Happier,0.687
1865,Dean Lewis,2018,Be Alright,0.553
1866,Charlie Puth,2018,Done for Me (feat. Kehlani),0.856
1867,Migos,2018,Stir Fry,0.817
1868,YG,2018,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0.745
1869,Drake,2018,In My Feelings,0.835
1870,B Young,2018,Jumanji,0.791
1871,Charlie Puth,2018,The Way I Am,0.755
1872,Reik,2018,Me Niego (feat. Ozuna & Wisin),0.777
1873,benny blanco,2018,Eastside (with Halsey & Khalid),0.56
1874,Luis Fonsi,2017,Échame La Culpa,0.733
1875,MK,2017,17,0.703
1876,Rita Ora,2017,Anywhere,0.628
1877,Banx & Ranx,2018,Answerphone (feat. Yxng Bane),0.671
1878,Ella Mai,2018,Trip,0.477
1879,Daddy Yankee,2018,Dura,0.783
1880,DJ Khaled,2018,No Brainer,0.552
1881,Anne-Marie,2018,2002,0.697
1882,Bruno Mars,2017,Finesse - Remix; feat. Cardi B,0.704
1883,FINNEAS,2018,Let's Fall in Love for the Night,0.737
1884,Hugh Jackman,2017,The Greatest Show,0.417
1885,Halsey,2017,Bad At Love,0.675
1886,Drake,2018,I'm Upset,0.899
1887,Camila Cabello,2018,Never Be the Same,0.637
1888,M.O,2018,Bad Vibe,0.813
1889,Dua Lipa,2017,IDGAF,0.836
1890,Cashmere Cat,2018,Miss You (with Major Lazer & Tory Lanez),0.747
1891,Bazzi,2018,Mine,0.71
1892,Lil Dicky,2018,Freaky Friday (feat. Chris Brown),0.755
1893,Lauv,2018,I Like Me Better,0.752
1894,The Chainsmokers,2018,This Feeling,0.575
1895,Maroon 5,2018,Girls Like You (feat. Cardi B) - Cardi B Version,0.851
1896,Khalid,2018,Love Lies (with Normani),0.708
1897,Drake,2018,Nice For What,0.585
1898,Kendrick Lamar,2017,LOVE. FEAT. ZACARI.,0.8
1899,Post Malone,2018,Psycho (feat. Ty Dolla $ign),0.75
1900,Lil Nas X,2019,Old Town Road - Remix,0.878
1901,Billie Eilish,2019,bad guy,0.701
1902,Shawn Mendes,2019,Señorita,0.759
1903,Ariana Grande,2019,7 rings,0.778
1904,Post Malone,2019,Sunflower - Spider-Man: Into the Spider-Verse,0.755
1905,Gesaffelstein,2019,Lost in the Fire (feat. The Weeknd),0.658
1906,Halsey,2018,Without Me,0.752
1907,Regard,2019,Ride It,0.88
1908,Lady Gaga,2018,Shallow,0.572
1909,Mark Ronson,2018,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.601
1910,Lewis Capaldi,2019,Someone You Loved,0.501
1911,Jax Jones,2019,All Day And Night,0.585
1912,Mustard,2019,Pure Water (with Migos),0.682
1913,NLE Choppa,2019,Shotta Flow (feat. Blueface) [Remix],0.894
1914,Kodak Black,2018,ZEZE (feat. Travis Scott & Offset),0.861
1915,Daddy Yankee,2019,Con Calma,0.737
1916,Alec Benjamin,2018,Let Me Down Slowly,0.652
1917,BLACKPINK,2019,Kill This Love,0.738
1918,Offset,2019,Clout (feat. Cardi B),0.919
1919,MEDUZA,2019,Piece Of Your Heart,0.677
1920,Ed Sheeran,2019,Antisocial (with Travis Scott),0.716
1921,Travis Scott,2018,SICKO MODE,0.834
1922,Mabel,2019,Mad Love,0.631
1923,Lana Del Rey,2019,Doin' Time,0.641
1924,DJ Snake,2019,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0.842
1925,A Boogie Wit da Hoodie,2018,Look Back at It,0.791
1926,Saweetie,2019,My Type,0.899
1927,Lil Tecca,2019,Ransom,0.745
1928,Russ Millions,2019,Keisha & Becky - Remix,0.863
1929,Billie Eilish,2018,lovely (with Khalid),0.351
1930,Mabel,2019,Don't Call Me Up,0.674
1931,Lil Nas X,2019,Old Town Road,0.907
1932,Meek Mill,2018,Going Bad (feat. Drake),0.889
1933,Post Malone,2019,Wow.,0.829
1934,Doja Cat,2019,Juicy,0.786
1935,A Boogie Wit da Hoodie,2018,Swervin (feat. 6ix9ine),0.581
1936,iann dior,2019,emotions,0.63
1937,Paulo Londra,2019,Adan y Eva,0.767
1938,Drake,2019,Money In The Grave (Drake ft. Rick Ross),0.831
1939,Lil Nas X,2019,Panini,0.703
1940,Bad Bunny,2018,MIA (feat. Drake),0.817
1941,Polo G,2019,Pop Out (feat. Lil Tjay),0.772
1942,Juice WRLD,2019,Robbery,0.685
1943,21 Savage,2018,a lot,0.837
1944,Young Thug,2019,The London (feat. J. Cole & Travis Scott),0.796
1945,Anuel AA,2019,China,0.786
1946,Camila Cabello,2019,Liar,0.74
1947,Flipp Dinero,2019,Leave Me Alone,0.792
1948,Cardi B,2018,Money,0.95
1949,Ariana Grande,2019,"break up with your girlfriend, i'm bored",0.726
1950,Dave,2019,Location (feat. Burna Boy),0.812
1951,Ava Max,2018,Sweet but Psycho,0.719
1952,Dua Lipa,2019,Don't Start Now,0.794
1953,Young T & Bugsey,2019,Strike a Pose (feat. Aitch),0.531
1954,Calvin Harris,2019,Giant (with Rag'n'Bone Man),0.807
1955,Ed Sheeran,2019,Take Me Back to London (feat. Stormzy),0.885
1956,Cardi B,2019,Please Me,0.747
1957,Stormzy,2019,Vossi Bop,0.682
1958,Tones And I,2019,Dance Monkey,0.824
1959,Ariana Grande,2019,boyfriend (with Social House),0.4
1960,Bad Bunny,2019,Callaita,0.61
1961,Ava Max,2019,So Am I,0.682
1962,Pedro Capó,2018,Calma - Remix,0.826
1963,J. Cole,2019,MIDDLE CHILD,0.837
1964,Lunay,2019,Soltera - Remix,0.795
1965,Khalid,2018,Better,0.442
1966,Blueface,2018,Thotiana,0.906
1967,DaBaby,2019,Suge,0.876
1968,AJ Tracey,2019,Ladbroke Grove,0.903
1969,Billie Eilish,2019,bury a friend,0.905
1970,BTS,2019,Boy With Luv (feat. Halsey),0.645
1971,Wiley,2019,Boasty (feat. Idris Elba),0.887
1972,Jonas Brothers,2019,Only Human,0.795
1973,5 Seconds of Summer,2019,Easier,0.505
1974,Avicii,2019,SOS (feat. Aloe Blacc),0.802
1975,"Tyler, The Creator",2019,EARFQUAKE,0.554
1976,Ashley O,2019,On A Roll,0.736
1977,Dominic Fike,2018,3 Nights,0.815
1978,Sigala,2019,Wish You Well,0.669
1979,Megan Thee Stallion,2019,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),0.872
1980,Anuel AA,2019,Secreto,0.807
1981,Sam Feldt,2019,Post Malone (feat. RANI),0.59
1982,Kehlani,2019,Nights Like This (feat. Ty Dolla $ign),0.61
1983,Sech,2019,Otro Trago,0.746
1984,Post Malone,2018,Better Now,0.68
1985,Ed Sheeran,2019,Cross Me (feat. Chance the Rapper & PnB Rock),0.746
1986,Lauv,2019,i'm so tired...,0.599
1987,iann dior,2019,gone girl,0.677
1988,Panic! At The Disco,2018,High Hopes,0.579
1989,Marshmello,2019,One Thing Right,0.659
1990,Sam Smith,2019,How Do You Sleep?,0.477
1991,NSG,2020,Options,0.836
1992,Normani,2019,Motivation,0.599
1993,Joel Corry,2019,Sorry,0.744
1994,Post Malone,2019,Goodbyes (Feat. Young Thug),0.58
1995,Jonas Brothers,2019,Sucker,0.842
1996,Taylor Swift,2019,Cruel Summer,0.552
1997,Blanco Brown,2019,The Git Up,0.847
1998,Sam Smith,2019,Dancing With A Stranger (with Normani),0.741
1999,Post Malone,2019,Circles,0.695
